,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
655,FC,I5,0,0,0.008403361,0
656,FC,I6,0.008403361,0,0,0
657,FD,I2_P,0,0,0,0
658,FD,I3_P,0,0,0,0
659,FD,I2_A,0,0,0,0
660,FD,I3_A,0,0,0,0
661,FD,I1,0,0,0,0
662,FD,I4,0,0,0,0
663,FD,I5,0.008547009,0,0,0
664,FD,I6,0,0,0,0
665,FE,I2_P,0,0,0,0
666,FE,I3_P,0,0,0,0
667,FE,I2_A,0,0,0,0
668,FE,I3_A,0,0,0,0
669,FE,I1,0,0,0,0
670,FE,I4,0,0,0,0
671,FE,I5,0,0,0.008403361,0
672,FE,I6,0,0.006369427,0,0
673,FF,I2_P,0,0,0.007751938,0.027932961
674,FF,I3_P,0.036363636,0.006535948,0.053435115,0.028089888
675,FF,I2_A,0,0.005649718,0,0.006535948
676,FF,I3_A,0,0.005649718,0,0.006535948
677,FF,I1,0.008403361,0,0,0
678,FF,I4,0,0.006289308,0,0
679,FF,I5,0,0,0,0
680,FF,I6,0,0.006369427,0,0.006329114
681,FG,I2_P,0,0,0,0
682,FG,I3_P,0,0,0,0
