"AA","Int","Probibility","P_value","delabel"
"EQ","I4","0.00845621267374874","0.169820079056274",NA
"EQ","I5","0.0107245903424247","0.132033256266995",NA
"EQ","I6","-0.00636942675159236","0.467485954874578",NA
"ER","I2_P","0","0.495770649975813",NA
"ER","I3_P","0.0363636363636364","0.00525748941237656","ER"
"ER","I2_A","0","0.481485028299196",NA
"ER","I3_A","0.00775193798449612","0.352906640060192",NA
"ER","I1","0.0285172133369477","0.0494157246780377","ER"
"ER","I4","0.0714549970931769","2.65478211814468e-06","ER"
"ER","I5","0.00653274538624857","0.201213469020632",NA
"ER","I6","0.00840336134453781","0.356607875833799",NA
"ES","I2_P","0","0.495770649975813",NA
